"","coefTable.lmod0","coefTable.lmod1","coefTable.lmod2","CoefTable.lmod3","ranefTable.lmod3","CoefTable.lmod4","ranefTable.lmod4","coefTable.GEE","Final.coef.lmod3","Final.coef.lmod4"
"(Intercept)",8.46181838166656,7.54861398901898,6.97932201371899,7.61309934021741,-0.80064173605708,7.17493306803317,-1.22228214608225,8.46181838166655,6.81245760416033,5.95265092195092
"subject.no6",NA,1.36644371016678,1.66094378454564,8.8869254874885,0.473184411214019,8.66006455460824,0.262849340492822,NA,9.36010989870252,8.92291389510106
"subject.no7",NA,0.834101511258958,1.69722651753898,8.38613674610111,-0.0276043301733768,8.45265531451498,0.0554401003995694,NA,8.35853241592773,8.50809541491455
"subject.no9",NA,0.656328337274997,1.18172588786435,8.23108820674227,-0.182652869532215,8.19888077235112,-0.198334441764294,NA,8.04843533721006,8.00054633058683
"subject.no10",NA,1.04839589293157,1.83238966235548,8.56171436597166,0.147973289697172,8.65572063581254,0.25850542169712,NA,8.70968765566883,8.91422605750966
"subject.no11",NA,1.39887730434506,2.07272564579742,8.92336511956013,0.509624043285646,9.00643206659955,0.609216852484139,NA,9.43298916284578,9.61564891908369
"subject.no13",NA,0.737152555693902,1.44738653950691,8.28912635065099,-0.124614725623501,8.40804106349604,0.0108258493806266,NA,8.16451162502748,8.41886691287667
"subject.no14",NA,0.906728015856285,1.4958227299,8.45130995271681,0.0375688764423251,8.46317589179288,0.0659606776774646,NA,8.48887882915914,8.52913656947034
"subject.no15",NA,0.436354233400411,0.996596524734827,8.05226077878088,-0.361480297493607,8.03565952315928,-0.36155569095613,NA,7.69078048128727,7.67410383220315
"subject.no17",NA,0.16534761993966,0.83424276175156,7.73783252560991,-0.675908550664573,7.83675741024042,-0.56045780387499,NA,7.06192397494534,7.27629960636543
"subject.no19",NA,1.59024589988926,2.34621508847622,9.11081599614698,0.697074919872495,9.26458706805132,0.867371853935905,NA,9.80789091601948,10.1319589219872
"subject.no20",NA,1.06929169796132,1.62113987123439,8.60366699316923,0.18992591689474,8.57855961914317,0.181344405027754,NA,8.79359291006397,8.75990402417092
"subject.no22",NA,0.850054050173344,1.46240772963796,8.39806568916604,-0.0156753871084451,8.43195062532538,0.0347354112099653,NA,8.3823903020576,8.46668603653534
"subject.no24",NA,0.891289579282977,1.49078795548119,8.43616745606919,0.022426379794709,8.45494002724687,0.0577248131314542,NA,8.4585938358639,8.51266484037832
"subject.no26",NA,0.989554940277802,1.30015498935084,8.52454113572367,0.110800059449185,8.33587057135086,-0.0613446427645541,NA,8.63534119517286,8.27452592858631
"logcd19",0.0491805438173409,0.0483288492766439,0.51427691238919,0.0491956966115946,NA,0.407684740096766,0.348304695395555,0.0491805438173412,0.0491956966115946,0.755989435492321
"subject.no6:logcd19",NA,NA,-0.347269583026164,NA,NA,0.15436147444521,0.0949814297439992,NA,NA,0.249342904189209
"subject.no7:logcd19",NA,NA,-0.843468018148859,NA,NA,-0.0484361531686969,-0.107816197869908,NA,NA,-0.156252351038605
"subject.no9:logcd19",NA,NA,-0.445160812867787,NA,NA,0.0605990348829135,0.00121899018170274,NA,NA,0.0618180250646162
"subject.no10:logcd19",NA,NA,-0.567190279997099,NA,NA,0.00263608297333095,-0.0567439617278798,NA,NA,-0.0541078787545489
"subject.no11:logcd19",NA,NA,-0.525914495900921,NA,NA,0.00439392639878491,-0.0549861183024258,NA,NA,-0.0505921919036409
"subject.no13:logcd19",NA,NA,-0.52224952203611,NA,NA,-0.000640977030698299,-0.0600210217319091,NA,NA,-0.0606619987626074
"subject.no14:logcd19",NA,NA,-0.473583414788479,NA,NA,0.0445193395006238,-0.0148607052005869,NA,NA,0.0296586343000369
"subject.no15:logcd19",NA,NA,-0.460189049775479,NA,NA,0.0446219399340069,-0.0147581047672039,NA,NA,0.029863835166803
"subject.no17:logcd19",NA,NA,-0.501405900503031,NA,NA,0.00968813430587069,-0.0496919103953401,NA,NA,-0.0400037760894694
"subject.no19:logcd19",NA,NA,-0.54758215455554,NA,NA,-0.0159171995536966,-0.0752972442549073,NA,NA,-0.0912144438086039
"subject.no20:logcd19",NA,NA,-0.459120452736491,NA,NA,0.0607931445116112,0.00141309981040047,NA,NA,0.0622062443220117
"subject.no22:logcd19",NA,NA,-0.491552674532375,NA,NA,0.0278024422131587,-0.0315776024880521,NA,NA,-0.00377516027489344
"subject.no24:logcd19",NA,NA,-0.47691205667508,NA,NA,0.0420482854802173,-0.0173317592209934,NA,NA,0.0247165262592239
"subject.no26:logcd19",NA,NA,-0.405364454220433,NA,NA,0.096546455528441,0.0371664108272302,NA,NA,0.133712866355671
